product_id,sentiment_value,1,2,3,4,5,total_ratings,score
7084440917,0.7768526228143214,218,155,523,1432,3677,6005,0.7768526228143214
5033369736,0.9074,125,44,287,1008,3536,5000,0.7554864567716142
4749287511,0.9520652728199898,29,8,57,303,1564,1961,0.31069396459342996
2707980656,0.9099549774887443,55,18,118,426,1382,1999,0.3027119923446647
2492731906,0.9014507253626813,20,18,98,363,1500,1999,0.2998829083040604
2266238579,0.8544152744630071,93,42,144,470,1346,2095,0.29789957845261933
1523990920,0.8772365805168986,41,36,145,496,1294,2012,0.29372739077777216
4961087206,0.8479239619809905,85,21,124,500,1269,1999,0.28207632051908016
8749250817,0.8204740292486132,123,41,116,405,1298,1983,0.2707577964253711
1110142968,0.7888167748377434,107,34,133,504,1225,2003,0.2629389249459144
2987355840,0.8261344997266266,78,25,91,377,1258,1829,0.25143223904723416
2035203725,0.8662420382165605,51,21,81,385,1189,1727,0.248920125924299
5259290119,0.7313060817547358,172,45,116,427,1246,2006,0.24413416422396975
9896799911,0.8112994350282486,66,49,175,445,1035,1770,0.2389434284740869
1298361087,0.6426303854875284,204,60,156,562,1223,2205,0.23583453926853656
0152793086,0.7782122905027933,105,47,182,410,1046,1790,0.23179136688638918
3970848949,0.7521367521367521,127,37,110,471,1010,1755,0.21963946801528011
6930057074,0.8022457891453525,75,24,101,375,1028,1603,0.2139589386009844
7572937300,0.8262273901808785,44,9,104,348,1043,1548,0.21278486510405437
9134020477,0.608304152076038,226,89,171,459,1054,1999,0.202362717257346
3276934565,0.6455624646693047,151,77,220,458,863,1769,0.19002313427797124
5790598290,0.5886109632783395,263,80,169,461,906,1879,0.18404510712534453
9235265066,0.8025241276911655,51,48,145,368,735,1347,0.17980925399710437
5629545781,0.6679035250463822,212,38,138,307,922,1617,0.1796875217307858
2527900369,0.6820480404551201,150,53,136,364,879,1582,0.17951622587357816
6700355190,0.7217453505007153,107,54,144,293,800,1398,0.1678421638012658
2932444969,0.9231473010064044,22,14,45,256,756,1093,0.16777506336798056
9589393069,0.6034897713598074,221,64,118,298,961,1662,0.16688206237835757
2084753020,0.7690513219284604,60,62,127,326,711,1286,0.16449473552492805
0511644414,0.8158333333333333,56,11,51,234,848,1200,0.16281331556444
3254842450,0.5410654827968924,210,68,122,350,1052,1802,0.16223852557627957
3375849634,0.461,397,111,233,341,918,2000,0.15343628185907046
4208873058,0.8714555765595463,21,7,50,204,776,1058,0.15329953170862584
9926591370,0.8820709491850431,26,10,28,141,838,1043,0.15296282826947025
5977404441,0.841796875,25,21,95,239,644,1024,0.1433144105030818
9174837032,0.9288888888888889,15,6,52,204,623,900,0.13895422659040849
